"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","rockstar","Post Malone","36803492","7wGoVu4Dady5GV0Sv4UIsx",0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,"audio_features","spotify:track:7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx",218320,4
"2","Havana","Camila Cabello","30028749","0ofbQMrRDsUaVKq2mGLEAb",0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,"audio_features","spotify:track:0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb",216897,4
"3","Wolves","Selena Gomez","24355051","7EmGUiUaOSGDnUUQUDrOXC",0.715,0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,"audio_features","spotify:track:7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC",197993,4
"4","Perfect","Ed Sheeran","24101578","0tgVpDi06FyKpA1z0VMD4v",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,"audio_features","spotify:track:0tgVpDi06FyKpA1z0VMD4v","https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v","https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v",263400,3
"5","New Rules","Dua Lipa","23958050","2ekn2ttSfGqwhhate0LSR0",0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,"audio_features","spotify:track:2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0",209320,4
"6","Gucci Gang","Lil Pump","21818053","43ZyHQITOjhciSUUNPVRHc",0.936,0.523,5,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,"audio_features","spotify:track:43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc",124056,4
"7","Too Good At Goodbyes","Sam Smith","21285725","1mXVgsBdtIVeCLJnSnmtdV",0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,"audio_features","spotify:track:1mXVgsBdtIVeCLJnSnmtdV","https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV","https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV",201000,4
"8","What Lovers Do (feat. SZA)","Maroon 5","20602334","3hBBKuWJfxlIlnd9QFoC8k",0.795,0.615,5,-5.211,0,0.0671,0.0786,2.98e-06,0.0855,0.393,110.009,"audio_features","spotify:track:3hBBKuWJfxlIlnd9QFoC8k","https://api.spotify.com/v1/tracks/3hBBKuWJfxlIlnd9QFoC8k","https://api.spotify.com/v1/audio-analysis/3hBBKuWJfxlIlnd9QFoC8k",199849,4
"9","Let You Down","NF","19465511","6mrKP2jyIQmM0rw6fQryjr",0.659,0.716,5,-5.673,0,0.111,0.33,0,0.173,0.437,148.015,"audio_features","spotify:track:6mrKP2jyIQmM0rw6fQryjr","https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr","https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr",212120,4
"10","Échame La Culpa","Luis Fonsi","19056515","1zsG4eaZmkA1dvjDDsAGLK",0.724,0.895,7,-3.617,1,0.0411,0.0322,0,0.097,0.64,96.022,"audio_features","spotify:track:1zsG4eaZmkA1dvjDDsAGLK","https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK","https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK",173720,4
