"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","HANABI","Mr.Children","187648","77lmDcPPyY6kK907gdgC6i",0.638,0.766,1,-5.541,1,0.0268,0.156,0,0.124,0.595,112,"audio_features","spotify:track:77lmDcPPyY6kK907gdgC6i","https://api.spotify.com/v1/tracks/77lmDcPPyY6kK907gdgC6i","https://api.spotify.com/v1/audio-analysis/77lmDcPPyY6kK907gdgC6i",342773,4
"2","U.S.A.","DA PUMP","164836","4qZyuyqLoZ3CaH79rGvJFR",0.653,0.992,7,-0.877,1,0.0587,0.0171,0,0.221,0.921,139.542,"audio_features","spotify:track:4qZyuyqLoZ3CaH79rGvJFR","https://api.spotify.com/v1/tracks/4qZyuyqLoZ3CaH79rGvJFR","https://api.spotify.com/v1/audio-analysis/4qZyuyqLoZ3CaH79rGvJFR",238493,4
"3","打上花火","DAOKO×米津玄師","160735","4IouQaO9GkaHC7AtMErdSa",0.625,0.668,6,-4.315,1,0.0249,0.288,0,0.107,0.292,95.968,"audio_features","spotify:track:4IouQaO9GkaHC7AtMErdSa","https://api.spotify.com/v1/tracks/4IouQaO9GkaHC7AtMErdSa","https://api.spotify.com/v1/audio-analysis/4IouQaO9GkaHC7AtMErdSa",289578,4
"4","マリーゴールド","Aimyon","153288","0jWVUKsIoyo3zw64RaEWYg",0.54,0.8,2,-2.299,1,0.0304,0.0849,0,0.0836,0.378,106.098,"audio_features","spotify:track:0jWVUKsIoyo3zw64RaEWYg","https://api.spotify.com/v1/tracks/0jWVUKsIoyo3zw64RaEWYg","https://api.spotify.com/v1/audio-analysis/0jWVUKsIoyo3zw64RaEWYg",308107,4
"5","Shape of You","Ed Sheeran","149263","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"audio_features","spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3",233713,4
"6","Happier","Marshmello","138470","2dpaYNEQHiRxtZbfNsse99",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"audio_features","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99",214290,4
"7","Ainokatachi (feat. HIDE (GReeeeN))","MISIA","131447","3YO08EfyAkr3WEba4xmWkS",0.549,0.65,6,-6.086,1,0.0261,0.0215,0,0.132,0.293,90.037,"audio_features","spotify:track:3YO08EfyAkr3WEba4xmWkS","https://api.spotify.com/v1/tracks/3YO08EfyAkr3WEba4xmWkS","https://api.spotify.com/v1/audio-analysis/3YO08EfyAkr3WEba4xmWkS",266333,4
"8","君はロックを聴かない","Aimyon","129185","59eluCMn0XbOWqeWQ91FTM",0.524,0.687,7,-4.039,1,0.0267,0.00135,0,0.169,0.619,99.919,"audio_features","spotify:track:59eluCMn0XbOWqeWQ91FTM","https://api.spotify.com/v1/tracks/59eluCMn0XbOWqeWQ91FTM","https://api.spotify.com/v1/audio-analysis/59eluCMn0XbOWqeWQ91FTM",246307,4
"9","愛をこめて花束を","Superfly","129151","7CmWXD3w1xOO53AAO4LRVQ",0.37,0.8,7,-3.403,1,0.0436,0.151,3.33e-06,0.089,0.451,161.934,"audio_features","spotify:track:7CmWXD3w1xOO53AAO4LRVQ","https://api.spotify.com/v1/tracks/7CmWXD3w1xOO53AAO4LRVQ","https://api.spotify.com/v1/audio-analysis/7CmWXD3w1xOO53AAO4LRVQ",295600,4
"10","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","128456","4w8niZpiMy6qz1mntFA5uM",0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,"audio_features","spotify:track:4w8niZpiMy6qz1mntFA5uM","https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM","https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM",212500,4
