"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","rockstar","Post Malone","12722566","7wGoVu4Dady5GV0Sv4UIsx",0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,"audio_features","spotify:track:7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx",218320,4
"2","Gucci Gang","Lil Pump","8786208","43ZyHQITOjhciSUUNPVRHc",0.936,0.523,5,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,"audio_features","spotify:track:43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc",124056,4
"3","I Fall Apart","Post Malone","7141154","75ZvA4QfFiZvzhj2xkaWAh",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,"audio_features","spotify:track:75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh",223347,4
"4","Havana","Camila Cabello","6175956","0ofbQMrRDsUaVKq2mGLEAb",0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,"audio_features","spotify:track:0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb",216897,4
"5","Candy Paint","Post Malone","6172064","42CeaId2XNlxugDvyqHfDf",0.765,0.688,4,-5.566,1,0.0841,0.633,0,0.0734,0.434,90.013,"audio_features","spotify:track:42CeaId2XNlxugDvyqHfDf","https://api.spotify.com/v1/tracks/42CeaId2XNlxugDvyqHfDf","https://api.spotify.com/v1/audio-analysis/42CeaId2XNlxugDvyqHfDf",229573,4
"6","Ric Flair Drip (& Metro Boomin)","Offset","6129485","7sO5G9EABYOXQKNPNiE9NR",0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007,"audio_features","spotify:track:7sO5G9EABYOXQKNPNiE9NR","https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR","https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR",172800,4
"7","No Limit","G-Eazy","5982425","2Xqd0wUttjueBfdcltADOv",0.838,0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,"audio_features","spotify:track:2Xqd0wUttjueBfdcltADOv","https://api.spotify.com/v1/tracks/2Xqd0wUttjueBfdcltADOv","https://api.spotify.com/v1/audio-analysis/2Xqd0wUttjueBfdcltADOv",245387,4
"8","Plain Jane","A$AP Ferg","5963090","4dVpf9jZjcORqGTLUaeYj9",0.797,0.844,11,-5.482,1,0.275,0.0651,0,0.087,0.52,170.142,"audio_features","spotify:track:4dVpf9jZjcORqGTLUaeYj9","https://api.spotify.com/v1/tracks/4dVpf9jZjcORqGTLUaeYj9","https://api.spotify.com/v1/audio-analysis/4dVpf9jZjcORqGTLUaeYj9",173600,4
"9","Bank Account","21 Savage","5845017","2fQrGHiQOvpL9UgPvtYy6G",0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,"audio_features","spotify:track:2fQrGHiQOvpL9UgPvtYy6G","https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G","https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G",220307,4
"10","Too Good At Goodbyes","Sam Smith","5619244","1mXVgsBdtIVeCLJnSnmtdV",0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,"audio_features","spotify:track:1mXVgsBdtIVeCLJnSnmtdV","https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV","https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV",201000,4
"11","Wolves","Selena Gomez","5211212","7EmGUiUaOSGDnUUQUDrOXC",0.715,0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,"audio_features","spotify:track:7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC",197993,4
