"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Despacito - Remix","Luis Fonsi","54848635","5CtI0qwDJkDQGwXD1H1cLb",0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,"audio_features","spotify:track:5CtI0qwDJkDQGwXD1H1cLb","https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb","https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb",228827,4
"2","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","39581415","3DXncPQOG4VBw3QHh3S817",0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,"audio_features","spotify:track:3DXncPQOG4VBw3QHh3S817","https://api.spotify.com/v1/tracks/3DXncPQOG4VBw3QHh3S817","https://api.spotify.com/v1/audio-analysis/3DXncPQOG4VBw3QHh3S817",288600,4
"3","Shape of You","Ed Sheeran","31111347","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"audio_features","spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3",233713,4
"4","HUMBLE.","Kendrick Lamar","28336107","7KXjTSCq5nL1LoYtL7XAwS",0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,"audio_features","spotify:track:7KXjTSCq5nL1LoYtL7XAwS","https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS","https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS",177000,4
"5","There's Nothing Holdin' Me Back","Shawn Mendes","22445693","79cuOz3SPQTuFrp8WgftAu",0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.966,121.996,"audio_features","spotify:track:79cuOz3SPQTuFrp8WgftAu","https://api.spotify.com/v1/tracks/79cuOz3SPQTuFrp8WgftAu","https://api.spotify.com/v1/audio-analysis/79cuOz3SPQTuFrp8WgftAu",199440,4
"6","Bad Liar","Selena Gomez","21977487","1sCxVKWImDZSZKvG0U9B23",0.953,0.41,1,-6.543,1,0.0705,0.175,0,0.0768,0.718,121.074,"audio_features","spotify:track:1sCxVKWImDZSZKvG0U9B23","https://api.spotify.com/v1/tracks/1sCxVKWImDZSZKvG0U9B23","https://api.spotify.com/v1/audio-analysis/1sCxVKWImDZSZKvG0U9B23",214648,4
"7","Malibu","Miley Cyrus","21811821","2habSXqcJGExM6JJyskY7O",0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16e-05,0.0757,0.4,140.004,"audio_features","spotify:track:2habSXqcJGExM6JJyskY7O","https://api.spotify.com/v1/tracks/2habSXqcJGExM6JJyskY7O","https://api.spotify.com/v1/audio-analysis/2habSXqcJGExM6JJyskY7O",231906,4
"8","Mask Off","Future","21734265","3rOSwuTsUlJp0Pu0MkN8r8",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,"audio_features","spotify:track:3rOSwuTsUlJp0Pu0MkN8r8","https://api.spotify.com/v1/tracks/3rOSwuTsUlJp0Pu0MkN8r8","https://api.spotify.com/v1/audio-analysis/3rOSwuTsUlJp0Pu0MkN8r8",204600,4
"9","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","21644855","6kex4EBAj0WHXDKZMEJaaF",0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,"audio_features","spotify:track:6kex4EBAj0WHXDKZMEJaaF","https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF","https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF",216409,4
"10","Stay (with Alessia Cara)","Zedd","21633298","0dA2Mk56wEzDgegdC6R17g",0.679,0.634,5,-5.024,0,0.0654,0.232,0,0.115,0.498,102.013,"audio_features","spotify:track:0dA2Mk56wEzDgegdC6R17g","https://api.spotify.com/v1/tracks/0dA2Mk56wEzDgegdC6R17g","https://api.spotify.com/v1/audio-analysis/0dA2Mk56wEzDgegdC6R17g",210091,4
"11","Attention","Charlie Puth","21058196","4iLqG9SeJSnt0cSPICSjxv",0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,"audio_features","spotify:track:4iLqG9SeJSnt0cSPICSjxv","https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv","https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv",211475,4
"12","It Ain't Me (with Selena Gomez)","Kygo","21048907","3eR23VReFzcdmS7TYCrhCe",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,"audio_features","spotify:track:3eR23VReFzcdmS7TYCrhCe","https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe","https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe",220781,4
"13","Despacito (Featuring Daddy Yankee)","Luis Fonsi","20259343","4aWmUDTfIPGksMNLV2rQP2",0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,"audio_features","spotify:track:4aWmUDTfIPGksMNLV2rQP2","https://api.spotify.com/v1/tracks/4aWmUDTfIPGksMNLV2rQP2","https://api.spotify.com/v1/audio-analysis/4aWmUDTfIPGksMNLV2rQP2",228200,4
"14","Something Just Like This","The Chainsmokers","20124743","6RUKPb4LETWmmr3iAEQktW",0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,"audio_features","spotify:track:6RUKPb4LETWmmr3iAEQktW","https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW","https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW",247160,4
"15","That's What I Like","Bruno Mars","19793846","0KKkJNfGyhkQ5aFogxQAPU",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,"audio_features","spotify:track:0KKkJNfGyhkQ5aFogxQAPU","https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU","https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU",206693,4
"16","Symphony (feat. Zara Larsson)","Clean Bandit","19547266","1x5sYLZiu9r5E43kMlt9f8",0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,"audio_features","spotify:track:1x5sYLZiu9r5E43kMlt9f8","https://api.spotify.com/v1/tracks/1x5sYLZiu9r5E43kMlt9f8","https://api.spotify.com/v1/audio-analysis/1x5sYLZiu9r5E43kMlt9f8",212459,4
"17","Unforgettable","French Montana","18515419","1F2HXIJrE2Xn81OzT2zZvW",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,"audio_features","spotify:track:1F2HXIJrE2Xn81OzT2zZvW","https://api.spotify.com/v1/tracks/1F2HXIJrE2Xn81OzT2zZvW","https://api.spotify.com/v1/audio-analysis/1F2HXIJrE2Xn81OzT2zZvW",233833,4
"18","Sign of the Times","Harry Styles","17338757","5Ohxk2dO5COHF1krpoPigN",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,"audio_features","spotify:track:5Ohxk2dO5COHF1krpoPigN","https://api.spotify.com/v1/tracks/5Ohxk2dO5COHF1krpoPigN","https://api.spotify.com/v1/audio-analysis/5Ohxk2dO5COHF1krpoPigN",340707,4
"19","Felices los 4","Maluma","17130098","0qYTZCo5Bwh1nsUFGZP3zn",0.755,0.789,5,-4.502,1,0.146,0.231,0,0.351,0.737,93.973,"audio_features","spotify:track:0qYTZCo5Bwh1nsUFGZP3zn","https://api.spotify.com/v1/tracks/0qYTZCo5Bwh1nsUFGZP3zn","https://api.spotify.com/v1/audio-analysis/0qYTZCo5Bwh1nsUFGZP3zn",229849,4
"20","XO TOUR Llif3","Lil Uzi Vert","17120507","2eMwDehkIC1j68U6FA3Eiq",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,"audio_features","spotify:track:2eMwDehkIC1j68U6FA3Eiq","https://api.spotify.com/v1/tracks/2eMwDehkIC1j68U6FA3Eiq","https://api.spotify.com/v1/audio-analysis/2eMwDehkIC1j68U6FA3Eiq",182707,4
"21","First Time","Kygo","16564097","2Gl0FzuLxflY6nPifJp5Dr",0.633,0.592,0,-7.245,0,0.112,0.197,0,0.099,0.679,90.066,"audio_features","spotify:track:2Gl0FzuLxflY6nPifJp5Dr","https://api.spotify.com/v1/tracks/2Gl0FzuLxflY6nPifJp5Dr","https://api.spotify.com/v1/audio-analysis/2Gl0FzuLxflY6nPifJp5Dr",193511,4
"22","Thunder","Imagine Dragons","16357231","0tKcYR2II1VCQWT79i5NrW",0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,"audio_features","spotify:track:0tKcYR2II1VCQWT79i5NrW","https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW","https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW",187147,4
