"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","40096470","4w8niZpiMy6qz1mntFA5uM",0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,"audio_features","spotify:track:4w8niZpiMy6qz1mntFA5uM","https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM","https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM",212500,4
"2","MIA (feat. Drake)","Bad Bunny","33790813","116H0KvKr2Zl4RPuVBruDO",0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,"audio_features","spotify:track:116H0KvKr2Zl4RPuVBruDO","https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO","https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO",210368,4
"3","Happier","Marshmello","26397899","2dpaYNEQHiRxtZbfNsse99",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"audio_features","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99",214290,4
"4","ZEZE (feat. Travis Scott & Offset)","Kodak Black","25675014","7l3E7lcozEodtVsSTCkcaA",0.861,0.637,8,-5.692,0,0.24,0.0515,3.35e-06,0.0967,0.474,98.044,"audio_features","spotify:track:7l3E7lcozEodtVsSTCkcaA","https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA","https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA",228654,4
"5","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","25233843","1A6OTy97kk0mMdm78rHsm8",0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,"audio_features","spotify:track:1A6OTy97kk0mMdm78rHsm8","https://api.spotify.com/v1/tracks/1A6OTy97kk0mMdm78rHsm8","https://api.spotify.com/v1/audio-analysis/1A6OTy97kk0mMdm78rHsm8",158053,4
"6","Shallow","Lady Gaga","24206277","2VxeLyX666F8uXCJ0dZF8B",0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,"audio_features","spotify:track:2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B",215733,4
"7","Better","Khalid","21831365","2OpBganfGk2GVdSlRdxzaX",0.695,0.586,0,-10.315,0,0.0658,0.102,0.317,0.113,0.112,98.035,"audio_features","spotify:track:2OpBganfGk2GVdSlRdxzaX","https://api.spotify.com/v1/tracks/2OpBganfGk2GVdSlRdxzaX","https://api.spotify.com/v1/audio-analysis/2OpBganfGk2GVdSlRdxzaX",229320,4
"8","Without Me","Halsey","21400500","5p7ujcrUXASCNwRaWNHR1C",0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,"audio_features","spotify:track:5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C",201661,4
"9","SICKO MODE","Travis Scott","18768708","2xLMifQCjDGFmkHkpNLD9h",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"audio_features","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h",312820,4
"10","Promises (with Sam Smith)","Calvin Harris","17939622","5N5k9nd479b1xpDZ4usjrg",0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,"audio_features","spotify:track:5N5k9nd479b1xpDZ4usjrg","https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg","https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg",213309,4
"11","Eastside (with Halsey & Khalid)","benny blanco","17464716","0d2iYfpKoM0QCKvcLCkBao",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,"audio_features","spotify:track:0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao",173800,4
"12","In My Mind","Dynoro","17296927","0E9ZjEAyAwOXZ7wJC0PD33",0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,"audio_features","spotify:track:0E9ZjEAyAwOXZ7wJC0PD33","https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33","https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33",184560,4
"13","I Love It (& Lil Pump)","Kanye West","16938373","4S8d14HvHb70ImctNgVzQQ",0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,"audio_features","spotify:track:4S8d14HvHb70ImctNgVzQQ","https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ","https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ",127947,4
"14","Girls Like You (feat. Cardi B)","Maroon 5","16772609","7fa9MBXhVfQ8P8Df9OEbD8",0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,"audio_features","spotify:track:7fa9MBXhVfQ8P8Df9OEbD8","https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8","https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8",235545,4
"15","Falling Down - Bonus Track","Lil Peep","16543892","0Dn40gxVCMo5TkgS8Ik18Q",0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,"audio_features","spotify:track:0Dn40gxVCMo5TkgS8Ik18Q","https://api.spotify.com/v1/tracks/0Dn40gxVCMo5TkgS8Ik18Q","https://api.spotify.com/v1/audio-analysis/0Dn40gxVCMo5TkgS8Ik18Q",196400,4
"16","Kiss and Make Up","Dua Lipa","15971199","13hvHEstJ4sNbzdroPrPI3",0.675,0.729,8,-4.383,1,0.146,0.0557,0,0.189,0.63,99.986,"audio_features","spotify:track:13hvHEstJ4sNbzdroPrPI3","https://api.spotify.com/v1/tracks/13hvHEstJ4sNbzdroPrPI3","https://api.spotify.com/v1/audio-analysis/13hvHEstJ4sNbzdroPrPI3",190560,4
"17","Lucid Dreams","Juice WRLD","15886976","0s3nnoMeVWz3989MkNQiRf",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,"audio_features","spotify:track:0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf",239836,4
"18","when the party's over","Billie Eilish","15651708","14JzyD6FlBD5z0wV5P07YI",0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,"audio_features","spotify:track:14JzyD6FlBD5z0wV5P07YI","https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI","https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI",199931,3
