"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Passionfruit","Drake","13339705","7hDc8b7IXETo14hHIHdnhd",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,"audio_features","spotify:track:7hDc8b7IXETo14hHIHdnhd","https://api.spotify.com/v1/tracks/7hDc8b7IXETo14hHIHdnhd","https://api.spotify.com/v1/audio-analysis/7hDc8b7IXETo14hHIHdnhd",298941,4
"2","Mask Off","Future","10560128","3rOSwuTsUlJp0Pu0MkN8r8",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,"audio_features","spotify:track:3rOSwuTsUlJp0Pu0MkN8r8","https://api.spotify.com/v1/tracks/3rOSwuTsUlJp0Pu0MkN8r8","https://api.spotify.com/v1/audio-analysis/3rOSwuTsUlJp0Pu0MkN8r8",204600,4
"3","Shape of You","Ed Sheeran","10123353","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"audio_features","spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3",233713,4
"4","Portland","Drake","9871070","2bjwRfXMk4uRgOD9IBYl9h",0.924,0.444,1,-8.227,1,0.243,0.0143,0,0.26,0.314,136.088,"audio_features","spotify:track:2bjwRfXMk4uRgOD9IBYl9h","https://api.spotify.com/v1/tracks/2bjwRfXMk4uRgOD9IBYl9h","https://api.spotify.com/v1/audio-analysis/2bjwRfXMk4uRgOD9IBYl9h",236615,4
"5","iSpy (feat. Lil Yachty)","KYLE","8511806","2EEeOnHehOozLq4aS0n6SL",0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,"audio_features","spotify:track:2EEeOnHehOozLq4aS0n6SL","https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL","https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL",253107,4
"6","That's What I Like","Bruno Mars","8292776","0KKkJNfGyhkQ5aFogxQAPU",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,"audio_features","spotify:track:0KKkJNfGyhkQ5aFogxQAPU","https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU","https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU",206693,4
"7","Gyalchester","Drake","7323737","6UjfByV1lDLW0SOVQA4NAi",0.872,0.389,1,-8.343,1,0.0634,0.0343,0.000679,0.0941,0.156,131.012,"audio_features","spotify:track:6UjfByV1lDLW0SOVQA4NAi","https://api.spotify.com/v1/tracks/6UjfByV1lDLW0SOVQA4NAi","https://api.spotify.com/v1/audio-analysis/6UjfByV1lDLW0SOVQA4NAi",189230,4
"8","Tunnel Vision","Kodak Black","6921418","4Q3N4Ct4zCuIHuZ65E3BD4",0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,"audio_features","spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4","https://api.spotify.com/v1/tracks/4Q3N4Ct4zCuIHuZ65E3BD4","https://api.spotify.com/v1/audio-analysis/4Q3N4Ct4zCuIHuZ65E3BD4",268187,4
"9","Blem","Drake","6807187","2XlHu0HcujBCkWMdIAvrqt",0.724,0.548,7,-8.062,0,0.0497,0.0521,7.4e-06,0.104,0.392,98.017,"audio_features","spotify:track:2XlHu0HcujBCkWMdIAvrqt","https://api.spotify.com/v1/tracks/2XlHu0HcujBCkWMdIAvrqt","https://api.spotify.com/v1/audio-analysis/2XlHu0HcujBCkWMdIAvrqt",216558,4
"10","The Heart Part 4","Kendrick Lamar","6655660","1zayuwd1YLZsYDArkruHdL",0.672,0.434,9,-15.218,0,0.765,0.501,0.000125,0.272,0.54,129.209,"audio_features","spotify:track:1zayuwd1YLZsYDArkruHdL","https://api.spotify.com/v1/tracks/1zayuwd1YLZsYDArkruHdL","https://api.spotify.com/v1/audio-analysis/1zayuwd1YLZsYDArkruHdL",288555,4
