"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","God's Plan","Drake","26345370","2XW4DbS6NddZxRPm5rMCeY",0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,"audio_features","spotify:track:2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY",198960,4
"2","rockstar","Post Malone","8635041","7wGoVu4Dady5GV0Sv4UIsx",0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,"audio_features","spotify:track:7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx",218320,4
"3","Diplomatic Immunity","Drake","8422148","5goGDc74vVREyN8al8CkPh",0.655,0.839,9,-5.076,0,0.443,0.00534,0,0.308,0.55,74.867,"audio_features","spotify:track:5goGDc74vVREyN8al8CkPh","https://api.spotify.com/v1/tracks/5goGDc74vVREyN8al8CkPh","https://api.spotify.com/v1/audio-analysis/5goGDc74vVREyN8al8CkPh",255840,4
"4","Finesse (Remix) [feat. Cardi B]","Bruno Mars","6831118","3Vo4wInECJQuz9BIBMOu8i",0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,"audio_features","spotify:track:3Vo4wInECJQuz9BIBMOu8i","https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i","https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i",217289,4
"5","No Limit","G-Eazy","6657944","2DQ1ITjI0YoLFzuADN1ZBW",0.838,0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,"audio_features","spotify:track:2DQ1ITjI0YoLFzuADN1ZBW","https://api.spotify.com/v1/tracks/2DQ1ITjI0YoLFzuADN1ZBW","https://api.spotify.com/v1/audio-analysis/2DQ1ITjI0YoLFzuADN1ZBW",245387,4
"6","I Fall Apart","Post Malone","6557861","75ZvA4QfFiZvzhj2xkaWAh",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,"audio_features","spotify:track:75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh",223347,4
"7","Havana","Camila Cabello","6521146","1rfofaqEpACxVEHIZBJe6W",0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,"audio_features","spotify:track:1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W",217307,4
"8","Ric Flair Drip (& Metro Boomin)","Offset","6355943","7sO5G9EABYOXQKNPNiE9NR",0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007,"audio_features","spotify:track:7sO5G9EABYOXQKNPNiE9NR","https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR","https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR",172800,4
"9","Bartier Cardi (feat. 21 Savage)","Cardi B","5972385","75FDPwaULRdYDn4StFN2rT",0.909,0.546,8,-7.513,1,0.175,0.000704,0.000823,0.36,0.0986,138.043,"audio_features","spotify:track:75FDPwaULRdYDn4StFN2rT","https://api.spotify.com/v1/tracks/75FDPwaULRdYDn4StFN2rT","https://api.spotify.com/v1/audio-analysis/75FDPwaULRdYDn4StFN2rT",224613,4
"10","All The Stars (with SZA)","Kendrick Lamar","5946526","12SJpYZEdj4kzWZ8FPFg4Y",0.715,0.62,5,-5.428,0,0.0507,0.0322,0.0142,0.0881,0.456,96.812,"audio_features","spotify:track:12SJpYZEdj4kzWZ8FPFg4Y","https://api.spotify.com/v1/tracks/12SJpYZEdj4kzWZ8FPFg4Y","https://api.spotify.com/v1/audio-analysis/12SJpYZEdj4kzWZ8FPFg4Y",235540,4
"11","Never Be the Same","Camila Cabello","5662604","4eWQlBRaTjPPUlzacqEeoQ",0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,"audio_features","spotify:track:4eWQlBRaTjPPUlzacqEeoQ","https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ","https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ",226973,4
"12","Him & I (with Halsey)","G-Eazy","5494119","5k38wzpLb15YgncyWdTZE4",0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,"audio_features","spotify:track:5k38wzpLb15YgncyWdTZE4","https://api.spotify.com/v1/tracks/5k38wzpLb15YgncyWdTZE4","https://api.spotify.com/v1/audio-analysis/5k38wzpLb15YgncyWdTZE4",268867,4
"13","Codeine Dreaming (feat. Lil Wayne)","Kodak Black","5415717","4DTpngLjoHj5gFxEZFeD3J",0.736,0.604,1,-7.357,0,0.222,0.0652,6.43e-05,0.124,0.574,155.007,"audio_features","spotify:track:4DTpngLjoHj5gFxEZFeD3J","https://api.spotify.com/v1/tracks/4DTpngLjoHj5gFxEZFeD3J","https://api.spotify.com/v1/audio-analysis/4DTpngLjoHj5gFxEZFeD3J",264532,4
"14","PICK IT UP (feat. A$AP Rocky)","Famous Dex","5281454","3ncgNpxLoBQ65ABk4djDyd",0.921,0.467,1,-8.443,1,0.119,0.0149,0.000238,0.334,0.287,135.995,"audio_features","spotify:track:3ncgNpxLoBQ65ABk4djDyd","https://api.spotify.com/v1/tracks/3ncgNpxLoBQ65ABk4djDyd","https://api.spotify.com/v1/audio-analysis/3ncgNpxLoBQ65ABk4djDyd",191252,4
"15","LOVE. FEAT. ZACARI.","Kendrick Lamar","5178866","6PGoSes0D9eUDeeAafB2As",0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,"audio_features","spotify:track:6PGoSes0D9eUDeeAafB2As","https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As","https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As",213400,4
"16","Let You Down","NF","5113990","6mrKP2jyIQmM0rw6fQryjr",0.659,0.716,5,-5.673,0,0.111,0.33,0,0.173,0.437,148.015,"audio_features","spotify:track:6mrKP2jyIQmM0rw6fQryjr","https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr","https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr",212120,4
"17","Stir Fry","Migos","4927600","4fndbjoz1qJyK6JcLdKfzm",0.813,0.808,2,-5.541,1,0.286,0.00693,0,0.133,0.547,181.993,"audio_features","spotify:track:4fndbjoz1qJyK6JcLdKfzm","https://api.spotify.com/v1/tracks/4fndbjoz1qJyK6JcLdKfzm","https://api.spotify.com/v1/audio-analysis/4fndbjoz1qJyK6JcLdKfzm",192132,4
"18","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","4712749","7iDa6hUg2VgEL1o1HjmfBn",0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,"audio_features","spotify:track:7iDa6hUg2VgEL1o1HjmfBn","https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn","https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn",163870,4
