"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Despacito - Remix","Luis Fonsi","43222758","5CtI0qwDJkDQGwXD1H1cLb",0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,"audio_features","spotify:track:5CtI0qwDJkDQGwXD1H1cLb","https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb","https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb",228827,4
"2","Shape of You","Ed Sheeran","37276333","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"audio_features","spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3",233713,4
"3","HUMBLE.","Kendrick Lamar","36075217","7KXjTSCq5nL1LoYtL7XAwS",0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,"audio_features","spotify:track:7KXjTSCq5nL1LoYtL7XAwS","https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS","https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS",177000,4
"4","Something Just Like This","The Chainsmokers","25605588","6RUKPb4LETWmmr3iAEQktW",0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,"audio_features","spotify:track:6RUKPb4LETWmmr3iAEQktW","https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW","https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW",247160,4
"5","Mask Off","Future","24145617","3rOSwuTsUlJp0Pu0MkN8r8",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,"audio_features","spotify:track:3rOSwuTsUlJp0Pu0MkN8r8","https://api.spotify.com/v1/tracks/3rOSwuTsUlJp0Pu0MkN8r8","https://api.spotify.com/v1/audio-analysis/3rOSwuTsUlJp0Pu0MkN8r8",204600,4
"6","DNA.","Kendrick Lamar","23979164","6HZILIRieu8S0iqY8kIKhj",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,"audio_features","spotify:track:6HZILIRieu8S0iqY8kIKhj","https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj","https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj",185947,4
"7","It Ain't Me (with Selena Gomez)","Kygo","23969795","3eR23VReFzcdmS7TYCrhCe",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,"audio_features","spotify:track:3eR23VReFzcdmS7TYCrhCe","https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe","https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe",220781,4
"8","Passionfruit","Drake","22316827","7hDc8b7IXETo14hHIHdnhd",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,"audio_features","spotify:track:7hDc8b7IXETo14hHIHdnhd","https://api.spotify.com/v1/tracks/7hDc8b7IXETo14hHIHdnhd","https://api.spotify.com/v1/audio-analysis/7hDc8b7IXETo14hHIHdnhd",298941,4
"9","Stay (with Alessia Cara)","Zedd","22152198","0dA2Mk56wEzDgegdC6R17g",0.679,0.634,5,-5.024,0,0.0654,0.232,0,0.115,0.498,102.013,"audio_features","spotify:track:0dA2Mk56wEzDgegdC6R17g","https://api.spotify.com/v1/tracks/0dA2Mk56wEzDgegdC6R17g","https://api.spotify.com/v1/audio-analysis/0dA2Mk56wEzDgegdC6R17g",210091,4
"10","That's What I Like","Bruno Mars","21645304","0KKkJNfGyhkQ5aFogxQAPU",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,"audio_features","spotify:track:0KKkJNfGyhkQ5aFogxQAPU","https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU","https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU",206693,4
