"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","God's Plan","Drake","53416337","2XW4DbS6NddZxRPm5rMCeY",0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,"audio_features","spotify:track:2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY",198960,4
"2","All The Stars (with SZA)","Kendrick Lamar","30168080","2Imq77E6CEJR5TPUxlJvTY",0.532,0.642,5,-4.891,0,0.111,0.0548,0.000246,0.0991,0.536,193.016,"audio_features","spotify:track:2Imq77E6CEJR5TPUxlJvTY","https://api.spotify.com/v1/tracks/2Imq77E6CEJR5TPUxlJvTY","https://api.spotify.com/v1/audio-analysis/2Imq77E6CEJR5TPUxlJvTY",232187,4
"3","Mine","Bazzi","23666856","6tHWl8ows5JOZq9Yfaqn3M",0.716,0.805,4,-3.839,1,0.0856,0.014,3.1e-06,0.291,0.719,142.886,"audio_features","spotify:track:6tHWl8ows5JOZq9Yfaqn3M","https://api.spotify.com/v1/tracks/6tHWl8ows5JOZq9Yfaqn3M","https://api.spotify.com/v1/audio-analysis/6tHWl8ows5JOZq9Yfaqn3M",133995,4
"4","Pray For Me (with Kendrick Lamar)","The Weeknd","22395543","4ofvoCdXq99vpMZO4Cfp8x",0.728,0.668,2,-5.02,1,0.126,0.0805,1.49e-05,0.102,0.162,100.537,"audio_features","spotify:track:4ofvoCdXq99vpMZO4Cfp8x","https://api.spotify.com/v1/tracks/4ofvoCdXq99vpMZO4Cfp8x","https://api.spotify.com/v1/audio-analysis/4ofvoCdXq99vpMZO4Cfp8x",211440,4
"5","IDGAF","Dua Lipa","21322467","76cy1WJvNGJTj78UqeA5zr",0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,"audio_features","spotify:track:76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr",217947,4
"6","rockstar","Post Malone","21291755","2U7Hu2RaNQNRi7izoJyZaX",0.578,0.532,5,-6.636,0,0.066,0.117,8.97e-05,0.143,0.12,159.784,"audio_features","spotify:track:2U7Hu2RaNQNRi7izoJyZaX","https://api.spotify.com/v1/tracks/2U7Hu2RaNQNRi7izoJyZaX","https://api.spotify.com/v1/audio-analysis/2U7Hu2RaNQNRi7izoJyZaX",218320,4
"7","Look Alive (feat. Drake)","BlocBoy JB","19920253","4qKcDkK6siZ7Jp1Jb4m0aL",0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,"audio_features","spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL","https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL","https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL",181263,4
"8","Havana","Camila Cabello","19736610","1rfofaqEpACxVEHIZBJe6W",0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,"audio_features","spotify:track:1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W",217307,4
"9","Dura","Daddy Yankee","18068532","2j2fIJGh4PMdXt9ULI5Tlc",0.786,0.846,1,-3.468,1,0.0505,0.174,0,0.413,0.819,95.005,"audio_features","spotify:track:2j2fIJGh4PMdXt9ULI5Tlc","https://api.spotify.com/v1/tracks/2j2fIJGh4PMdXt9ULI5Tlc","https://api.spotify.com/v1/audio-analysis/2j2fIJGh4PMdXt9ULI5Tlc",200480,4
"10","FRIENDS","Marshmello","17913457","08bNPGLD8AhKpnnERrAc6G",0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,"audio_features","spotify:track:08bNPGLD8AhKpnnERrAc6G","https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G","https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G",202621,4
"11","The Middle","Zedd","17897973","09IStsImFySgyp0pIQdqAc",0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,"audio_features","spotify:track:09IStsImFySgyp0pIQdqAc","https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc","https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc",184732,4
"12","River (feat. Ed Sheeran)","Eminem","17596221","5UEnHoDYpsxlfzWLZIc7LD",0.757,0.748,8,-5.794,0,0.473,0.17,0,0.0759,0.693,90.052,"audio_features","spotify:track:5UEnHoDYpsxlfzWLZIc7LD","https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD","https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD",221013,4
"13","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","17508441","5CLGzJsGqhCEECcpnFQA8x",0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,"audio_features","spotify:track:5CLGzJsGqhCEECcpnFQA8x","https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x","https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x",210773,4
"14","Finesse (Remix) [feat. Cardi B]","Bruno Mars","16499044","3Vo4wInECJQuz9BIBMOu8i",0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,"audio_features","spotify:track:3Vo4wInECJQuz9BIBMOu8i","https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i","https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i",217289,4
"15","Sick Boy","The Chainsmokers","15514241","2IKZkwHI5zsZf70STuhvOX",0.548,0.58,11,-7.524,0,0.121,0.104,0,0.127,0.462,180.066,"audio_features","spotify:track:2IKZkwHI5zsZf70STuhvOX","https://api.spotify.com/v1/tracks/2IKZkwHI5zsZf70STuhvOX","https://api.spotify.com/v1/audio-analysis/2IKZkwHI5zsZf70STuhvOX",193893,4
"16","Échame La Culpa","Luis Fonsi","15494467","1zsG4eaZmkA1dvjDDsAGLK",0.724,0.895,7,-3.617,1,0.0411,0.0322,0,0.097,0.64,96.022,"audio_features","spotify:track:1zsG4eaZmkA1dvjDDsAGLK","https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK","https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK",173720,4
"17","Never Be the Same","Camila Cabello","15352945","4eWQlBRaTjPPUlzacqEeoQ",0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,"audio_features","spotify:track:4eWQlBRaTjPPUlzacqEeoQ","https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ","https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ",226973,4
"18","Amorfoda","Bad Bunny","14639577","3ITvHA9zhZZdBJsOsAUegF",0.727,0.461,9,-7.527,0,0.0749,0.983,7.86e-05,0.0796,0.198,148.129,"audio_features","spotify:track:3ITvHA9zhZZdBJsOsAUegF","https://api.spotify.com/v1/tracks/3ITvHA9zhZZdBJsOsAUegF","https://api.spotify.com/v1/audio-analysis/3ITvHA9zhZZdBJsOsAUegF",155676,3
"19","Stir Fry","Migos","14468212","2UVbBKQOdFAekPTRsnkzcf",0.815,0.816,2,-5.474,1,0.269,0.00299,0,0.159,0.498,181.967,"audio_features","spotify:track:2UVbBKQOdFAekPTRsnkzcf","https://api.spotify.com/v1/tracks/2UVbBKQOdFAekPTRsnkzcf","https://api.spotify.com/v1/audio-analysis/2UVbBKQOdFAekPTRsnkzcf",190288,4
"20","Perfect","Ed Sheeran","14209752","0tgVpDi06FyKpA1z0VMD4v",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,"audio_features","spotify:track:0tgVpDi06FyKpA1z0VMD4v","https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v","https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v",263400,3
"21","Wolves","Selena Gomez","14181680","7EmGUiUaOSGDnUUQUDrOXC",0.715,0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,"audio_features","spotify:track:7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC",197993,4
"22","New Rules","Dua Lipa","14158930","2ekn2ttSfGqwhhate0LSR0",0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,"audio_features","spotify:track:2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0",209320,4
"23","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","13973085","7iDa6hUg2VgEL1o1HjmfBn",0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,"audio_features","spotify:track:7iDa6hUg2VgEL1o1HjmfBn","https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn","https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn",163870,4
"24","Him & I (with Halsey)","G-Eazy","13570902","5k38wzpLb15YgncyWdTZE4",0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,"audio_features","spotify:track:5k38wzpLb15YgncyWdTZE4","https://api.spotify.com/v1/tracks/5k38wzpLb15YgncyWdTZE4","https://api.spotify.com/v1/audio-analysis/5k38wzpLb15YgncyWdTZE4",268867,4
"25","Love Lies (with Normani)","Khalid","13554767","45Egmo7icyopuzJN0oMEdk",0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,"audio_features","spotify:track:45Egmo7icyopuzJN0oMEdk","https://api.spotify.com/v1/tracks/45Egmo7icyopuzJN0oMEdk","https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk",201707,4
