"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Nice For What","Drake","11555034","1cTZMwcBJT0Ka3UJPXOeeN",0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,"audio_features","spotify:track:1cTZMwcBJT0Ka3UJPXOeeN","https://api.spotify.com/v1/tracks/1cTZMwcBJT0Ka3UJPXOeeN","https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN",210926,4
"2","Yes Indeed","Lil Baby","11082014","6vN77lE9LK6HP2DewaN6HZ",0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,"audio_features","spotify:track:6vN77lE9LK6HP2DewaN6HZ","https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ","https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ",142273,4
"3","Lucid Dreams","Juice WRLD","9969468","0X8DcetL926BYiPJYstJTc",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,"audio_features","spotify:track:0X8DcetL926BYiPJYstJTc","https://api.spotify.com/v1/tracks/0X8DcetL926BYiPJYstJTc","https://api.spotify.com/v1/audio-analysis/0X8DcetL926BYiPJYstJTc",239836,4
"4","Better Now","Post Malone","9277695","7dt6x5M1jzdTEt8oCbisTK",0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,"audio_features","spotify:track:7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK",231267,4
"5","This Is America","Childish Gambino","8706854","0b9oOr2ZgvyQu88wzixux9",0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,"audio_features","spotify:track:0b9oOr2ZgvyQu88wzixux9","https://api.spotify.com/v1/tracks/0b9oOr2ZgvyQu88wzixux9","https://api.spotify.com/v1/audio-analysis/0b9oOr2ZgvyQu88wzixux9",225773,4
"6","God's Plan","Drake","8412860","2XW4DbS6NddZxRPm5rMCeY",0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,"audio_features","spotify:track:2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY",198960,4
"7","Psycho (feat. Ty Dolla $ign)","Post Malone","7939914","3swc6WTsr7rl9DqQKQA55C",0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,"audio_features","spotify:track:3swc6WTsr7rl9DqQKQA55C","https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C","https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C",221440,4
"8","I Like It","Cardi B","7175665","58q2HKrzhC3ozto2nDdN4z",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,"audio_features","spotify:track:58q2HKrzhC3ozto2nDdN4z","https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z","https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z",253390,4
"9","Look Alive (feat. Drake)","BlocBoy JB","7123819","4qKcDkK6siZ7Jp1Jb4m0aL",0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,"audio_features","spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL","https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL","https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL",181263,4
"10","I'm Upset","Drake","6664420","54oMZ3blwWwuPN4wEoG5mk",0.899,0.592,11,-7.901,0,0.333,0.263,0,0.0831,0.504,149.953,"audio_features","spotify:track:54oMZ3blwWwuPN4wEoG5mk","https://api.spotify.com/v1/tracks/54oMZ3blwWwuPN4wEoG5mk","https://api.spotify.com/v1/audio-analysis/54oMZ3blwWwuPN4wEoG5mk",214139,4
