"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Shape of You","Ed Sheeran","48548944","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"audio_features","spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3",233713,4
"2","Passionfruit","Drake","32675350","7hDc8b7IXETo14hHIHdnhd",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,"audio_features","spotify:track:7hDc8b7IXETo14hHIHdnhd","https://api.spotify.com/v1/tracks/7hDc8b7IXETo14hHIHdnhd","https://api.spotify.com/v1/audio-analysis/7hDc8b7IXETo14hHIHdnhd",298941,4
"3","It Ain't Me (with Selena Gomez)","Kygo","28840908","3eR23VReFzcdmS7TYCrhCe",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,"audio_features","spotify:track:3eR23VReFzcdmS7TYCrhCe","https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe","https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe",220781,4
"4","Something Just Like This","The Chainsmokers","27218668","6RUKPb4LETWmmr3iAEQktW",0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,"audio_features","spotify:track:6RUKPb4LETWmmr3iAEQktW","https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW","https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW",247160,4
"5","Galway Girl","Ed Sheeran","24106534","0afhq8XCExXpqazXczTSve",0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,"audio_features","spotify:track:0afhq8XCExXpqazXczTSve","https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve","https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve",170827,4
"6","Despacito (Featuring Daddy Yankee)","Luis Fonsi","23272542","4aWmUDTfIPGksMNLV2rQP2",0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,"audio_features","spotify:track:4aWmUDTfIPGksMNLV2rQP2","https://api.spotify.com/v1/tracks/4aWmUDTfIPGksMNLV2rQP2","https://api.spotify.com/v1/audio-analysis/4aWmUDTfIPGksMNLV2rQP2",228200,4
"7","Stay (with Alessia Cara)","Zedd","23006805","0dA2Mk56wEzDgegdC6R17g",0.679,0.634,5,-5.024,0,0.0654,0.232,0,0.115,0.498,102.013,"audio_features","spotify:track:0dA2Mk56wEzDgegdC6R17g","https://api.spotify.com/v1/tracks/0dA2Mk56wEzDgegdC6R17g","https://api.spotify.com/v1/audio-analysis/0dA2Mk56wEzDgegdC6R17g",210091,4
"8","That's What I Like","Bruno Mars","22697986","0KKkJNfGyhkQ5aFogxQAPU",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,"audio_features","spotify:track:0KKkJNfGyhkQ5aFogxQAPU","https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU","https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU",206693,4
"9","Mask Off","Future","20467220","3rOSwuTsUlJp0Pu0MkN8r8",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,"audio_features","spotify:track:3rOSwuTsUlJp0Pu0MkN8r8","https://api.spotify.com/v1/tracks/3rOSwuTsUlJp0Pu0MkN8r8","https://api.spotify.com/v1/audio-analysis/3rOSwuTsUlJp0Pu0MkN8r8",204600,4
"10","Paris","The Chainsmokers","19815477","72jbDTw1piOOj770jWNeaG",0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,"audio_features","spotify:track:72jbDTw1piOOj770jWNeaG","https://api.spotify.com/v1/tracks/72jbDTw1piOOj770jWNeaG","https://api.spotify.com/v1/audio-analysis/72jbDTw1piOOj770jWNeaG",221507,4
