"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Falling Down - Bonus Track","Lil Peep","12878038","0Dn40gxVCMo5TkgS8Ik18Q",0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,"audio_features","spotify:track:0Dn40gxVCMo5TkgS8Ik18Q","https://api.spotify.com/v1/tracks/0Dn40gxVCMo5TkgS8Ik18Q","https://api.spotify.com/v1/audio-analysis/0Dn40gxVCMo5TkgS8Ik18Q",196400,4
"2","I Love It (& Lil Pump)","Kanye West","11449795","4S8d14HvHb70ImctNgVzQQ",0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,"audio_features","spotify:track:4S8d14HvHb70ImctNgVzQQ","https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ","https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ",127947,4
"3","SICKO MODE","Travis Scott","9965998","2xLMifQCjDGFmkHkpNLD9h",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"audio_features","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h",312820,4
"4","New Patek","Lil Uzi Vert","9216307","0Fpen1PTuEnCmOJtUU9Iud",0.85,0.785,8,-4.963,0,0.345,0.0367,0,0.155,0.718,145.063,"audio_features","spotify:track:0Fpen1PTuEnCmOJtUU9Iud","https://api.spotify.com/v1/tracks/0Fpen1PTuEnCmOJtUU9Iud","https://api.spotify.com/v1/audio-analysis/0Fpen1PTuEnCmOJtUU9Iud",343099,4
"5","Lucid Dreams","Juice WRLD","8890369","0s3nnoMeVWz3989MkNQiRf",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,"audio_features","spotify:track:0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf",239836,4
"6","Lucky You (feat. Joyner Lucas)","Eminem","8067418","60SdxE8apGAxMiRrpbmLY0",0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,"audio_features","spotify:track:60SdxE8apGAxMiRrpbmLY0","https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0","https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0",244679,4
"7","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","8049051","2E124GmJRnBJuXbTb4cPUB",0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,"audio_features","spotify:track:2E124GmJRnBJuXbTb4cPUB","https://api.spotify.com/v1/tracks/2E124GmJRnBJuXbTb4cPUB","https://api.spotify.com/v1/audio-analysis/2E124GmJRnBJuXbTb4cPUB",179405,4
"8","Mo Bamba","Sheck Wes","7796694","3QybPutx0Tjk472bBKjNWn",0.738,0.629,6,-4.882,0,0.0495,0.268,0.00114,0.163,0.319,146.067,"audio_features","spotify:track:3QybPutx0Tjk472bBKjNWn","https://api.spotify.com/v1/tracks/3QybPutx0Tjk472bBKjNWn","https://api.spotify.com/v1/audio-analysis/3QybPutx0Tjk472bBKjNWn",180898,4
"9","Happier","Marshmello","6996824","2dpaYNEQHiRxtZbfNsse99",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"audio_features","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99",214290,4
"10","SAD!","XXXTENTACION","6811335","3ee8Jmje8o58CHK66QrVC2",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,"audio_features","spotify:track:3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2",166606,4
"11","Nonstop","Drake","6676793","0TlLq3lA83rQOYtrqBqSct",0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,"audio_features","spotify:track:0TlLq3lA83rQOYtrqBqSct","https://api.spotify.com/v1/tracks/0TlLq3lA83rQOYtrqBqSct","https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct",238614,4
"12","Better","Khalid","6622443","4T3fNx3CgwDRRYgmFCbD4J",0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,"audio_features","spotify:track:4T3fNx3CgwDRRYgmFCbD4J","https://api.spotify.com/v1/tracks/4T3fNx3CgwDRRYgmFCbD4J","https://api.spotify.com/v1/audio-analysis/4T3fNx3CgwDRRYgmFCbD4J",229413,4
"13","Wake Up in the Sky","Gucci Mane","6512414","0QIjsbm2fh1cJ45XO9eGqq",0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,"audio_features","spotify:track:0QIjsbm2fh1cJ45XO9eGqq","https://api.spotify.com/v1/tracks/0QIjsbm2fh1cJ45XO9eGqq","https://api.spotify.com/v1/audio-analysis/0QIjsbm2fh1cJ45XO9eGqq",204665,4
"14","In My Feelings","Drake","6477849","2G7V7zsVDxg1yRsu7Ew9RJ",0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,"audio_features","spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ",217925,4
"15","Moonlight","XXXTENTACION","6063895","0JP9xo3adEtGSdUEISiszL",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,"audio_features","spotify:track:0JP9xo3adEtGSdUEISiszL","https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL","https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL",135090,4
"16","Drip Too Hard","Lil Baby","5929504","1BxkZE73h9BN3qwuA15TA3",0.9,0.653,1,-6.962,0,0.289,0.0945,0,0.528,0.399,112.503,"audio_features","spotify:track:1BxkZE73h9BN3qwuA15TA3","https://api.spotify.com/v1/tracks/1BxkZE73h9BN3qwuA15TA3","https://api.spotify.com/v1/audio-analysis/1BxkZE73h9BN3qwuA15TA3",145603,4
"17","Eastside (with Halsey & Khalid)","benny blanco","5641653","0d2iYfpKoM0QCKvcLCkBao",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,"audio_features","spotify:track:0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao",173800,4
"18","Better Now","Post Malone","5623732","7dt6x5M1jzdTEt8oCbisTK",0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,"audio_features","spotify:track:7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK",231267,4
"19","Taste (feat. Offset)","Tyga","5597464","5IaHrVsrferBYDm0bDyABy",0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,"audio_features","spotify:track:5IaHrVsrferBYDm0bDyABy","https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy","https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy",232959,4
