"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","thank u, next","Ariana Grande","3916111","2rPE9A1vEgShuZxxzR2tZH",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,"audio_features","spotify:track:2rPE9A1vEgShuZxxzR2tZH","https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH","https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH",207333,4
"2","Woman Like Me (feat. Nicki Minaj)","Little Mix","2026214","222B3aljXx6fFwKmFjuBED",0.754,0.854,5,-3.449,0,0.0608,0.177,0,0.0808,0.8,75.002,"audio_features","spotify:track:222B3aljXx6fFwKmFjuBED","https://api.spotify.com/v1/tracks/222B3aljXx6fFwKmFjuBED","https://api.spotify.com/v1/audio-analysis/222B3aljXx6fFwKmFjuBED",229720,4
"3","Without Me","Halsey","2000908","5p7ujcrUXASCNwRaWNHR1C",0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,"audio_features","spotify:track:5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C",201661,4
"4","Let You Love Me","Rita Ora","1879720","5Fla3zyOCcIRqrDoKLU0DP",0.531,0.854,10,-3.149,1,0.198,0.288,0,0.0773,0.456,94.419,"audio_features","spotify:track:5Fla3zyOCcIRqrDoKLU0DP","https://api.spotify.com/v1/tracks/5Fla3zyOCcIRqrDoKLU0DP","https://api.spotify.com/v1/audio-analysis/5Fla3zyOCcIRqrDoKLU0DP",190000,4
"5","ZEZE (feat. Travis Scott & Offset)","Kodak Black","1850429","7l3E7lcozEodtVsSTCkcaA",0.861,0.637,8,-5.692,0,0.24,0.0515,3.35e-06,0.0967,0.474,98.044,"audio_features","spotify:track:7l3E7lcozEodtVsSTCkcaA","https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA","https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA",228654,4
"6","Funky Friday","Dave","1830840","01IQ4aQgOf0Kkq3a273hmO",0.975,0.535,1,-7.227,1,0.196,0.0783,0,0.107,0.671,125.066,"audio_features","spotify:track:01IQ4aQgOf0Kkq3a273hmO","https://api.spotify.com/v1/tracks/01IQ4aQgOf0Kkq3a273hmO","https://api.spotify.com/v1/audio-analysis/01IQ4aQgOf0Kkq3a273hmO",182741,4
"7","Sweet but Psycho","Ava Max","1826102","25sgk305KZfyuqVBQIahim",0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,"audio_features","spotify:track:25sgk305KZfyuqVBQIahim","https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim","https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim",187436,4
"8","Shallow","Lady Gaga","1761104","2VxeLyX666F8uXCJ0dZF8B",0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,"audio_features","spotify:track:2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B",215733,4
"9","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","1716117","1A6OTy97kk0mMdm78rHsm8",0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,"audio_features","spotify:track:1A6OTy97kk0mMdm78rHsm8","https://api.spotify.com/v1/tracks/1A6OTy97kk0mMdm78rHsm8","https://api.spotify.com/v1/audio-analysis/1A6OTy97kk0mMdm78rHsm8",158053,4
"10","Thursday","Jess Glynne","1694021","3ji4bcQugJj5B6NRGYDNwP",0.82,0.582,2,-4.441,1,0.0454,0.428,0,0.0419,0.309,112.064,"audio_features","spotify:track:3ji4bcQugJj5B6NRGYDNwP","https://api.spotify.com/v1/tracks/3ji4bcQugJj5B6NRGYDNwP","https://api.spotify.com/v1/audio-analysis/3ji4bcQugJj5B6NRGYDNwP",214027,4
"11","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1689898","5JEx7HbmvHQQswJCsoo9rA",0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,"audio_features","spotify:track:5JEx7HbmvHQQswJCsoo9rA","https://api.spotify.com/v1/tracks/5JEx7HbmvHQQswJCsoo9rA","https://api.spotify.com/v1/audio-analysis/5JEx7HbmvHQQswJCsoo9rA",182623,4
"12","Promises (with Sam Smith)","Calvin Harris","1596533","5N5k9nd479b1xpDZ4usjrg",0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,"audio_features","spotify:track:5N5k9nd479b1xpDZ4usjrg","https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg","https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg",213309,4
"13","Ruin My Life","Zara Larsson","1554039","5tAa8Uaqr4VvA3693mbIhU",0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,"audio_features","spotify:track:5tAa8Uaqr4VvA3693mbIhU","https://api.spotify.com/v1/tracks/5tAa8Uaqr4VvA3693mbIhU","https://api.spotify.com/v1/audio-analysis/5tAa8Uaqr4VvA3693mbIhU",190932,4
"14","SICKO MODE","Travis Scott","1500412","2xLMifQCjDGFmkHkpNLD9h",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"audio_features","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h",312820,4
"15","All I Want for Christmas Is You","Mariah Carey","1468238","0bYg9bo50gSsH3LtXe2SQn",0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,"audio_features","spotify:track:0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn",241107,4
"16","Happier","Marshmello","1428448","2dpaYNEQHiRxtZbfNsse99",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"audio_features","spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99",214290,4
"17","Eastside (with Halsey & Khalid)","benny blanco","1427958","0d2iYfpKoM0QCKvcLCkBao",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,"audio_features","spotify:track:0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao",173800,4
"18","Back & Forth","MK","1396369","4M8x1TR36VMQMFMbGCdoyA",0.684,0.816,10,-5.211,0,0.0322,0.0181,0,0.0222,0.702,121.993,"audio_features","spotify:track:4M8x1TR36VMQMFMbGCdoyA","https://api.spotify.com/v1/tracks/4M8x1TR36VMQMFMbGCdoyA","https://api.spotify.com/v1/audio-analysis/4M8x1TR36VMQMFMbGCdoyA",196215,4
"19","when the party's over","Billie Eilish","1334061","14JzyD6FlBD5z0wV5P07YI",0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,"audio_features","spotify:track:14JzyD6FlBD5z0wV5P07YI","https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI","https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI",199931,3
"20","1999","Charli XCX","1287066","05mAIVLkIWc2d1UBYZBCp8",0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,"audio_features","spotify:track:05mAIVLkIWc2d1UBYZBCp8","https://api.spotify.com/v1/tracks/05mAIVLkIWc2d1UBYZBCp8","https://api.spotify.com/v1/audio-analysis/05mAIVLkIWc2d1UBYZBCp8",189000,4
"21","Better","Khalid","1246202","6zeeWid2sgw4lap2jV61PZ",0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,"audio_features","spotify:track:6zeeWid2sgw4lap2jV61PZ","https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ","https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ",229320,4
"22","Just Got Paid","Sigala","1219352","5CpkVOosLFc83LbwqO6hnI",0.734,0.921,6,-1.936,0,0.0863,0.0328,0,0.197,0.654,120.056,"audio_features","spotify:track:5CpkVOosLFc83LbwqO6hnI","https://api.spotify.com/v1/tracks/5CpkVOosLFc83LbwqO6hnI","https://api.spotify.com/v1/audio-analysis/5CpkVOosLFc83LbwqO6hnI",218480,4
"23","Electricity (with Dua Lipa)","Silk City","1218972","5N4erncE7kuUccm7zEmwzk",0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,"audio_features","spotify:track:5N4erncE7kuUccm7zEmwzk","https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk","https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk",238173,4
"24","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","1217822","2LskIZrCeLxRvCiGP8gxlh",0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,"audio_features","spotify:track:2LskIZrCeLxRvCiGP8gxlh","https://api.spotify.com/v1/tracks/2LskIZrCeLxRvCiGP8gxlh","https://api.spotify.com/v1/audio-analysis/2LskIZrCeLxRvCiGP8gxlh",198903,4
"25","Last Christmas","Wham!","1171631","2FRnf9qhLbvw8fu4IBXx78",0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,"audio_features","spotify:track:2FRnf9qhLbvw8fu4IBXx78","https://api.spotify.com/v1/tracks/2FRnf9qhLbvw8fu4IBXx78","https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78",262960,4
