"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","God's Plan","Drake","3947466","2XW4DbS6NddZxRPm5rMCeY",0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,"audio_features","spotify:track:2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY",198960,4
"2","Barking","Ramz","3223489","7amMgNDcObIDkIXv4xcvc2",0.527,0.465,7,-8.055,0,0.227,0.175,0,0.0661,0.765,137.033,"audio_features","spotify:track:7amMgNDcObIDkIXv4xcvc2","https://api.spotify.com/v1/tracks/7amMgNDcObIDkIXv4xcvc2","https://api.spotify.com/v1/audio-analysis/7amMgNDcObIDkIXv4xcvc2",202827,5
"3","River (feat. Ed Sheeran)","Eminem","2717113","5UEnHoDYpsxlfzWLZIc7LD",0.757,0.748,8,-5.794,0,0.473,0.17,0,0.0759,0.693,90.052,"audio_features","spotify:track:5UEnHoDYpsxlfzWLZIc7LD","https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD","https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD",221013,4
"4","IDGAF","Dua Lipa","2319828","76cy1WJvNGJTj78UqeA5zr",0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,"audio_features","spotify:track:76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr",217947,4
"5","This Is Me","Keala Settle","1988415","2xGjteMU3E1tkEPVFBO08U",0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,"audio_features","spotify:track:2xGjteMU3E1tkEPVFBO08U","https://api.spotify.com/v1/tracks/2xGjteMU3E1tkEPVFBO08U","https://api.spotify.com/v1/audio-analysis/2xGjteMU3E1tkEPVFBO08U",234707,4
"6","Havana","Camila Cabello","1929384","1rfofaqEpACxVEHIZBJe6W",0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,"audio_features","spotify:track:1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W",217307,4
"7","rockstar","Post Malone","1927509","7wGoVu4Dady5GV0Sv4UIsx",0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,"audio_features","spotify:track:7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx",218320,4
"8","Let You Down","NF","1917274","6mrKP2jyIQmM0rw6fQryjr",0.659,0.716,5,-5.673,0,0.111,0.33,0,0.173,0.437,148.015,"audio_features","spotify:track:6mrKP2jyIQmM0rw6fQryjr","https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr","https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr",212120,4
"9","Tip Toe (feat. French Montana)","Jason Derulo","1810684","2z4pcBLQXF2BXKFvd0BuB6",0.845,0.709,10,-4.547,0,0.0714,0.0233,0,0.094,0.62,98.062,"audio_features","spotify:track:2z4pcBLQXF2BXKFvd0BuB6","https://api.spotify.com/v1/tracks/2z4pcBLQXF2BXKFvd0BuB6","https://api.spotify.com/v1/audio-analysis/2z4pcBLQXF2BXKFvd0BuB6",187521,4
"10","I Miss You (feat. Julia Michaels)","Clean Bandit","1807509","2xmrfQpmS2iJExTlklLoAL",0.638,0.658,3,-6.318,1,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,"audio_features","spotify:track:2xmrfQpmS2iJExTlklLoAL","https://api.spotify.com/v1/tracks/2xmrfQpmS2iJExTlklLoAL","https://api.spotify.com/v1/audio-analysis/2xmrfQpmS2iJExTlklLoAL",205748,4
"11","Rewrite The Stars","Zac Efron","1786384","630sXRhIcfwr2e4RdNtjKN",0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,"audio_features","spotify:track:630sXRhIcfwr2e4RdNtjKN","https://api.spotify.com/v1/tracks/630sXRhIcfwr2e4RdNtjKN","https://api.spotify.com/v1/audio-analysis/630sXRhIcfwr2e4RdNtjKN",217440,4
"12","Finesse (Remix) [feat. Cardi B]","Bruno Mars","1775661","3Vo4wInECJQuz9BIBMOu8i",0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,"audio_features","spotify:track:3Vo4wInECJQuz9BIBMOu8i","https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i","https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i",217289,4
"13","Breathe","Jax Jones","1677071","6tvQzeCPwOytDlBYCIOY0n",0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985,"audio_features","spotify:track:6tvQzeCPwOytDlBYCIOY0n","https://api.spotify.com/v1/tracks/6tvQzeCPwOytDlBYCIOY0n","https://api.spotify.com/v1/audio-analysis/6tvQzeCPwOytDlBYCIOY0n",207630,4
"14","Never Be the Same","Camila Cabello","1666525","4eWQlBRaTjPPUlzacqEeoQ",0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,"audio_features","spotify:track:4eWQlBRaTjPPUlzacqEeoQ","https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ","https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ",226973,4
"15","Anywhere","Rita Ora","1661413","7EI6Iki24tBHAMxtb4xQN2",0.628,0.797,11,-3.953,0,0.0596,0.0364,0,0.104,0.321,106.93,"audio_features","spotify:track:7EI6Iki24tBHAMxtb4xQN2","https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2","https://api.spotify.com/v1/audio-analysis/7EI6Iki24tBHAMxtb4xQN2",215064,4
"16","17","MK","1658664","15DwFznkBJir7AK9PyMyRR",0.703,0.832,0,-7.202,0,0.0689,0.00149,0.127,0.0696,0.667,122.029,"audio_features","spotify:track:15DwFznkBJir7AK9PyMyRR","https://api.spotify.com/v1/tracks/15DwFznkBJir7AK9PyMyRR","https://api.spotify.com/v1/audio-analysis/15DwFznkBJir7AK9PyMyRR",196489,4
"17","No Words","Dave","1502659","4USHZ3omhEBGjHLD9BIJYs",0.781,0.736,1,-5.413,0,0.29,0.344,0,0.125,0.536,100.55,"audio_features","spotify:track:4USHZ3omhEBGjHLD9BIJYs","https://api.spotify.com/v1/tracks/4USHZ3omhEBGjHLD9BIJYs","https://api.spotify.com/v1/audio-analysis/4USHZ3omhEBGjHLD9BIJYs",210905,4
"18","New Rules","Dua Lipa","1401494","2ekn2ttSfGqwhhate0LSR0",0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,"audio_features","spotify:track:2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0",209320,4
"19","Decline","RAYE","1395130","5STWwZgJ5gHzXdOsZ1hTqH",0.681,0.93,5,-2.334,0,0.0612,0.14,0,0.092,0.545,115.937,"audio_features","spotify:track:5STWwZgJ5gHzXdOsZ1hTqH","https://api.spotify.com/v1/tracks/5STWwZgJ5gHzXdOsZ1hTqH","https://api.spotify.com/v1/audio-analysis/5STWwZgJ5gHzXdOsZ1hTqH",188172,4
"20","Diplomatic Immunity","Drake","1392810","5goGDc74vVREyN8al8CkPh",0.655,0.839,9,-5.076,0,0.443,0.00534,0,0.308,0.55,74.867,"audio_features","spotify:track:5goGDc74vVREyN8al8CkPh","https://api.spotify.com/v1/tracks/5goGDc74vVREyN8al8CkPh","https://api.spotify.com/v1/audio-analysis/5goGDc74vVREyN8al8CkPh",255840,4
"21","I Know You","Craig David","1371006","34t13rSSZtr22CjcmroMmh",0.56,0.746,9,-5.098,1,0.0894,0.151,0,0.0834,0.259,140.813,"audio_features","spotify:track:34t13rSSZtr22CjcmroMmh","https://api.spotify.com/v1/tracks/34t13rSSZtr22CjcmroMmh","https://api.spotify.com/v1/audio-analysis/34t13rSSZtr22CjcmroMmh",214960,4
"22","The Greatest Show","Hugh Jackman","1354877","43ay9lQZ5rfNcOOHhRF2cM",0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,"audio_features","spotify:track:43ay9lQZ5rfNcOOHhRF2cM","https://api.spotify.com/v1/tracks/43ay9lQZ5rfNcOOHhRF2cM","https://api.spotify.com/v1/audio-analysis/43ay9lQZ5rfNcOOHhRF2cM",302147,4
"23","Wolves","Selena Gomez","1345380","7EmGUiUaOSGDnUUQUDrOXC",0.715,0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,"audio_features","spotify:track:7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC",197993,4
"24","My Lover - Radio Edit","Not3s","1340715","0A9y4c4dkI68IEnsRGtWil",0.823,0.581,6,-7.111,0,0.259,0.186,8.44e-06,0.145,0.675,106.047,"audio_features","spotify:track:0A9y4c4dkI68IEnsRGtWil","https://api.spotify.com/v1/tracks/0A9y4c4dkI68IEnsRGtWil","https://api.spotify.com/v1/audio-analysis/0A9y4c4dkI68IEnsRGtWil",192109,4
"25","Him & I (with Halsey)","G-Eazy","1288524","5k38wzpLb15YgncyWdTZE4",0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,"audio_features","spotify:track:5k38wzpLb15YgncyWdTZE4","https://api.spotify.com/v1/tracks/5k38wzpLb15YgncyWdTZE4","https://api.spotify.com/v1/audio-analysis/5k38wzpLb15YgncyWdTZE4",268867,4
