"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","One Kiss (with Dua Lipa)","Calvin Harris","3688955","7ef4DlsgrMEH11cDZd32M6",0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,"audio_features","spotify:track:7ef4DlsgrMEH11cDZd32M6","https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6","https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6",214847,4
"2","Nice For What","Drake","3407377","1cTZMwcBJT0Ka3UJPXOeeN",0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,"audio_features","spotify:track:1cTZMwcBJT0Ka3UJPXOeeN","https://api.spotify.com/v1/tracks/1cTZMwcBJT0Ka3UJPXOeeN","https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN",210926,4
"3","no tears left to cry","Ariana Grande","2652959","5SxkdsY1ufZzoq9iXceLw9",0.703,0.696,0,-5.482,1,0.0529,0.0375,5.65e-06,0.274,0.366,121.969,"audio_features","spotify:track:5SxkdsY1ufZzoq9iXceLw9","https://api.spotify.com/v1/tracks/5SxkdsY1ufZzoq9iXceLw9","https://api.spotify.com/v1/audio-analysis/5SxkdsY1ufZzoq9iXceLw9",205947,4
"4","2002","Anne-Marie","2597237","6SFStUDQZNaGPKWOx9ZiJB",0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,"audio_features","spotify:track:6SFStUDQZNaGPKWOx9ZiJB","https://api.spotify.com/v1/tracks/6SFStUDQZNaGPKWOx9ZiJB","https://api.spotify.com/v1/audio-analysis/6SFStUDQZNaGPKWOx9ZiJB",186987,4
"5","Better Now","Post Malone","2527862","7dt6x5M1jzdTEt8oCbisTK",0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,"audio_features","spotify:track:7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK",231267,4
"6","Freaky Friday (feat. Chris Brown)","Lil Dicky","2369539","10Igtw8bSDyyFs7KIsKngZ",0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,"audio_features","spotify:track:10Igtw8bSDyyFs7KIsKngZ","https://api.spotify.com/v1/tracks/10Igtw8bSDyyFs7KIsKngZ","https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ",216632,4
"7","Answerphone (feat. Yxng Bane)","Banx & Ranx","2017692","1HagMz5nWk1HmevNCBOxF3",0.671,0.834,1,-3.928,0,0.0885,0.0387,0,0.454,0.454,113.021,"audio_features","spotify:track:1HagMz5nWk1HmevNCBOxF3","https://api.spotify.com/v1/tracks/1HagMz5nWk1HmevNCBOxF3","https://api.spotify.com/v1/audio-analysis/1HagMz5nWk1HmevNCBOxF3",190921,4
"8","I'll Be There","Jess Glynne","1992565","083Qf6hn6sFL6xiOHlZUyn",0.623,0.851,7,-3.111,1,0.0409,0.0228,0,0.12,0.4,100.063,"audio_features","spotify:track:083Qf6hn6sFL6xiOHlZUyn","https://api.spotify.com/v1/tracks/083Qf6hn6sFL6xiOHlZUyn","https://api.spotify.com/v1/audio-analysis/083Qf6hn6sFL6xiOHlZUyn",193924,4
"9","God's Plan","Drake","1962695","2XW4DbS6NddZxRPm5rMCeY",0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,"audio_features","spotify:track:2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY",198960,4
"10","Love Lies (with Normani)","Khalid","1914798","45Egmo7icyopuzJN0oMEdk",0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,"audio_features","spotify:track:45Egmo7icyopuzJN0oMEdk","https://api.spotify.com/v1/tracks/45Egmo7icyopuzJN0oMEdk","https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk",201707,4
