"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","One Kiss (with Dua Lipa)","Calvin Harris","3439313","7ef4DlsgrMEH11cDZd32M6",0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,"audio_features","spotify:track:7ef4DlsgrMEH11cDZd32M6","https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6","https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6",214847,4
"2","Solo (feat. Demi Lovato)","Clean Bandit","3169795","6kPJZM97LwdG9QIsT7khp6",0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,"audio_features","spotify:track:6kPJZM97LwdG9QIsT7khp6","https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6","https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6",222653,4
"3","Shotgun","George Ezra","3095413","4ofwffwvvnbSkrMSCKQDaC",0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,"audio_features","spotify:track:4ofwffwvvnbSkrMSCKQDaC","https://api.spotify.com/v1/tracks/4ofwffwvvnbSkrMSCKQDaC","https://api.spotify.com/v1/audio-analysis/4ofwffwvvnbSkrMSCKQDaC",201287,4
"4","2002","Anne-Marie","2971915","6SFStUDQZNaGPKWOx9ZiJB",0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,"audio_features","spotify:track:6SFStUDQZNaGPKWOx9ZiJB","https://api.spotify.com/v1/tracks/6SFStUDQZNaGPKWOx9ZiJB","https://api.spotify.com/v1/audio-analysis/6SFStUDQZNaGPKWOx9ZiJB",186987,4
"5","SAD!","XXXTENTACION","2900470","3ee8Jmje8o58CHK66QrVC2",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,"audio_features","spotify:track:3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2",166606,4
"6","Better Now","Post Malone","2734448","7dt6x5M1jzdTEt8oCbisTK",0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,"audio_features","spotify:track:7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK",231267,4
"7","Nice For What","Drake","2702230","1cTZMwcBJT0Ka3UJPXOeeN",0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,"audio_features","spotify:track:1cTZMwcBJT0Ka3UJPXOeeN","https://api.spotify.com/v1/tracks/1cTZMwcBJT0Ka3UJPXOeeN","https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN",210926,4
"8","I'll Be There","Jess Glynne","2361920","083Qf6hn6sFL6xiOHlZUyn",0.623,0.851,7,-3.111,1,0.0409,0.0228,0,0.12,0.4,100.063,"audio_features","spotify:track:083Qf6hn6sFL6xiOHlZUyn","https://api.spotify.com/v1/tracks/083Qf6hn6sFL6xiOHlZUyn","https://api.spotify.com/v1/audio-analysis/083Qf6hn6sFL6xiOHlZUyn",193924,4
"9","no tears left to cry","Ariana Grande","2359176","5SxkdsY1ufZzoq9iXceLw9",0.703,0.696,0,-5.482,1,0.0529,0.0375,5.65e-06,0.274,0.366,121.969,"audio_features","spotify:track:5SxkdsY1ufZzoq9iXceLw9","https://api.spotify.com/v1/tracks/5SxkdsY1ufZzoq9iXceLw9","https://api.spotify.com/v1/audio-analysis/5SxkdsY1ufZzoq9iXceLw9",205947,4
"10","I Like It","Cardi B","2293635","58q2HKrzhC3ozto2nDdN4z",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,"audio_features","spotify:track:58q2HKrzhC3ozto2nDdN4z","https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z","https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z",253390,4
"11","If You're Over Me","Years & Years","2083767","01k24g94i1JvkFLQmVEdCd",0.647,0.853,8,-4.516,1,0.0904,0.0615,0,0.062,0.618,103.846,"audio_features","spotify:track:01k24g94i1JvkFLQmVEdCd","https://api.spotify.com/v1/tracks/01k24g94i1JvkFLQmVEdCd","https://api.spotify.com/v1/audio-analysis/01k24g94i1JvkFLQmVEdCd",189000,4
"12","Lucid Dreams","Juice WRLD","2029251","0X8DcetL926BYiPJYstJTc",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,"audio_features","spotify:track:0X8DcetL926BYiPJYstJTc","https://api.spotify.com/v1/tracks/0X8DcetL926BYiPJYstJTc","https://api.spotify.com/v1/audio-analysis/0X8DcetL926BYiPJYstJTc",239836,4
"13","Moonlight","XXXTENTACION","1989694","0JP9xo3adEtGSdUEISiszL",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,"audio_features","spotify:track:0JP9xo3adEtGSdUEISiszL","https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL","https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL",135090,4
"14","Jocelyn Flores","XXXTENTACION","1987657","7m9OqQk4RVRkw9JJdeAw96",0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,"audio_features","spotify:track:7m9OqQk4RVRkw9JJdeAw96","https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96","https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96",119133,4
"15","Youngblood","5 Seconds of Summer","1958183","2iUXsYOEPhVqEBwsqP70rE",0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,"audio_features","spotify:track:2iUXsYOEPhVqEBwsqP70rE","https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE","https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE",203418,4
"16","Answerphone (feat. Yxng Bane)","Banx & Ranx","1949503","1HagMz5nWk1HmevNCBOxF3",0.671,0.834,1,-3.928,0,0.0885,0.0387,0,0.454,0.454,113.021,"audio_features","spotify:track:1HagMz5nWk1HmevNCBOxF3","https://api.spotify.com/v1/tracks/1HagMz5nWk1HmevNCBOxF3","https://api.spotify.com/v1/audio-analysis/1HagMz5nWk1HmevNCBOxF3",190921,4
"17","Flames","David Guetta","1891228","33IOhptvC2Qoy2UhjiHXLV",0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,"audio_features","spotify:track:33IOhptvC2Qoy2UhjiHXLV","https://api.spotify.com/v1/tracks/33IOhptvC2Qoy2UhjiHXLV","https://api.spotify.com/v1/audio-analysis/33IOhptvC2Qoy2UhjiHXLV",195000,4
"18","German","EO","1811919","7cwLbWHs42c8JmrW9BJZos",0.862,0.583,8,-6.26,0,0.0654,0.811,1.86e-05,0.191,0.852,103.019,"audio_features","spotify:track:7cwLbWHs42c8JmrW9BJZos","https://api.spotify.com/v1/tracks/7cwLbWHs42c8JmrW9BJZos","https://api.spotify.com/v1/audio-analysis/7cwLbWHs42c8JmrW9BJZos",170825,4
"19","Back To You","Selena Gomez","1780319","514rhnksEwHUh6LxXsQ4Y9",0.6,0.683,6,-6.271,1,0.0493,0.0984,1.26e-06,0.11,0.494,102.036,"audio_features","spotify:track:514rhnksEwHUh6LxXsQ4Y9","https://api.spotify.com/v1/tracks/514rhnksEwHUh6LxXsQ4Y9","https://api.spotify.com/v1/audio-analysis/514rhnksEwHUh6LxXsQ4Y9",210240,4
"20","Rise","Jonas Blue","1776698","3u1S1OmAUhx5DRlLrXqyp3",0.69,0.784,1,-4.653,1,0.032,0.323,0,0.203,0.669,106.066,"audio_features","spotify:track:3u1S1OmAUhx5DRlLrXqyp3","https://api.spotify.com/v1/tracks/3u1S1OmAUhx5DRlLrXqyp3","https://api.spotify.com/v1/audio-analysis/3u1S1OmAUhx5DRlLrXqyp3",194408,4
"21","Girls Like You (feat. Cardi B)","Maroon 5","1721469","7fa9MBXhVfQ8P8Df9OEbD8",0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,"audio_features","spotify:track:7fa9MBXhVfQ8P8Df9OEbD8","https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8","https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8",235545,4
"22","Jackie Chan","Tiësto","1703462","4kWO6O1BUXcZmaxitpVUwp",0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,"audio_features","spotify:track:4kWO6O1BUXcZmaxitpVUwp","https://api.spotify.com/v1/tracks/4kWO6O1BUXcZmaxitpVUwp","https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp",215760,4
"23","Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","1637284","7ycWLEP1GsNjVvcjawXz3z",0.85,0.569,5,-8.152,0,0.136,0.0609,0.0816,0.1,0.294,80.02,"audio_features","spotify:track:7ycWLEP1GsNjVvcjawXz3z","https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z","https://api.spotify.com/v1/audio-analysis/7ycWLEP1GsNjVvcjawXz3z",205040,4
"24","changes","XXXTENTACION","1631757","7AFASza1mXqntmGtbxXprO",0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,"audio_features","spotify:track:7AFASza1mXqntmGtbxXprO","https://api.spotify.com/v1/tracks/7AFASza1mXqntmGtbxXprO","https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO",121887,4
"25","Bad Vibe","M.O","1490688","2aeKv96tpmi1T3ctpAZBqB",0.804,0.697,10,-4.42,1,0.0468,0.18,0,0.0961,0.768,110,"audio_features","spotify:track:2aeKv96tpmi1T3ctpAZBqB","https://api.spotify.com/v1/tracks/2aeKv96tpmi1T3ctpAZBqB","https://api.spotify.com/v1/audio-analysis/2aeKv96tpmi1T3ctpAZBqB",214253,4
