"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Shape of You","Ed Sheeran","51124648","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"audio_features","spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3",233713,4
"2","Paris","The Chainsmokers","28197386","72jbDTw1piOOj770jWNeaG",0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,"audio_features","spotify:track:72jbDTw1piOOj770jWNeaG","https://api.spotify.com/v1/tracks/72jbDTw1piOOj770jWNeaG","https://api.spotify.com/v1/audio-analysis/72jbDTw1piOOj770jWNeaG",221507,4
"3","Castle on the Hill","Ed Sheeran","25030348","6PCUP3dWmTjcTtXY02oFdT",0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,"audio_features","spotify:track:6PCUP3dWmTjcTtXY02oFdT","https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT","https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT",261154,4
"4","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","23493247","3NdDpSvN911VPGivFlV5d0",0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,"audio_features","spotify:track:3NdDpSvN911VPGivFlV5d0","https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0","https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0",245200,4
"5","Starboy","The Weeknd","22925769","5aAx2yezTd8zXrkmtKl66Z",0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,"audio_features","spotify:track:5aAx2yezTd8zXrkmtKl66Z","https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z","https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z",230453,4
"6","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","22525750","5knuzwU65gJK7IF5yJsuaW",0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,"audio_features","spotify:track:5knuzwU65gJK7IF5yJsuaW","https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW","https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW",251088,4
"7","Closer","The Chainsmokers","19330447","7BKLCZ1jbUBVqRi2FVlTVw",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,"audio_features","spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw","https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw",244960,4
"8","Say You Won't Let Go","James Arthur","19155590","5uCax9HTNlzGybIStD3vDh",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,"audio_features","spotify:track:5uCax9HTNlzGybIStD3vDh","https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh","https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh",211467,4
"9","I Feel It Coming","The Weeknd","18241454","5GXAXm5YOmYT0kL5jHvYBt",0.773,0.819,0,-5.946,0,0.118,0.426,0,0.0679,0.585,92.99,"audio_features","spotify:track:5GXAXm5YOmYT0kL5jHvYBt","https://api.spotify.com/v1/tracks/5GXAXm5YOmYT0kL5jHvYBt","https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt",269187,4
"10","Don't Wanna Know","Maroon 5","17666947","5MFzQMkrl1FOOng9tq6R9r",0.783,0.623,7,-6.126,1,0.08,0.338,0,0.0975,0.447,100.048,"audio_features","spotify:track:5MFzQMkrl1FOOng9tq6R9r","https://api.spotify.com/v1/tracks/5MFzQMkrl1FOOng9tq6R9r","https://api.spotify.com/v1/audio-analysis/5MFzQMkrl1FOOng9tq6R9r",214480,4
"11","Fake Love","Drake","16995174","343YBumqHu19cGoGARUTsd",0.927,0.488,9,-9.433,0,0.42,0.108,0,0.196,0.605,133.987,"audio_features","spotify:track:343YBumqHu19cGoGARUTsd","https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd","https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd",210937,4
"12","Bad and Boujee (feat. Lil Uzi Vert)","Migos","16285363","4Km5HrUvYTaSUfiSGPJeQR",0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,"audio_features","spotify:track:4Km5HrUvYTaSUfiSGPJeQR","https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR","https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR",343150,4
"13","Call On Me - Ryan Riback Extended Remix","Starley","16227511","78rIJddV4X0HkNAInEcYde",0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.717,104.998,"audio_features","spotify:track:78rIJddV4X0HkNAInEcYde","https://api.spotify.com/v1/tracks/78rIJddV4X0HkNAInEcYde","https://api.spotify.com/v1/audio-analysis/78rIJddV4X0HkNAInEcYde",222041,4
"14","Despacito (Featuring Daddy Yankee)","Luis Fonsi","16208528","4aWmUDTfIPGksMNLV2rQP2",0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,"audio_features","spotify:track:4aWmUDTfIPGksMNLV2rQP2","https://api.spotify.com/v1/tracks/4aWmUDTfIPGksMNLV2rQP2","https://api.spotify.com/v1/audio-analysis/4aWmUDTfIPGksMNLV2rQP2",228200,4
