"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","All I Want for Christmas Is You","Mariah Carey","39567108","0bYg9bo50gSsH3LtXe2SQn",0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,"audio_features","spotify:track:0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn",241107,4
"2","Last Christmas","Wham!","32326595","2FRnf9qhLbvw8fu4IBXx78",0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,"audio_features","spotify:track:2FRnf9qhLbvw8fu4IBXx78","https://api.spotify.com/v1/tracks/2FRnf9qhLbvw8fu4IBXx78","https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78",262960,4
"3","thank u, next","Ariana Grande","31180517","2rPE9A1vEgShuZxxzR2tZH",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,"audio_features","spotify:track:2rPE9A1vEgShuZxxzR2tZH","https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH","https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH",207333,4
"4","Santa Tell Me","Ariana Grande","26841408","0lizgQ7Qw35od7CYaoMBZb",0.506,0.628,7,-7.316,1,0.173,0.0545,0,0.301,0.556,191.708,"audio_features","spotify:track:0lizgQ7Qw35od7CYaoMBZb","https://api.spotify.com/v1/tracks/0lizgQ7Qw35od7CYaoMBZb","https://api.spotify.com/v1/audio-analysis/0lizgQ7Qw35od7CYaoMBZb",204093,4
"5","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","25782724","3KkXRkHbMCARz0aVfEt68P",0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,"audio_features","spotify:track:3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P",158040,4
"6","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","24641771","4w8niZpiMy6qz1mntFA5uM",0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,"audio_features","spotify:track:4w8niZpiMy6qz1mntFA5uM","https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM","https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM",212500,4
"7","It's Beginning to Look a Lot Like Christmas","Michael Bublé","24492004","0lLdorYw7lVrJydTINhWdI",0.35,0.232,4,-11.042,1,0.0331,0.907,9.21e-06,0.292,0.381,93.269,"audio_features","spotify:track:0lLdorYw7lVrJydTINhWdI","https://api.spotify.com/v1/tracks/0lLdorYw7lVrJydTINhWdI","https://api.spotify.com/v1/audio-analysis/0lLdorYw7lVrJydTINhWdI",206347,3
"8","Jingle Bell Rock","Bobby Helms","22414165","7vQbuQcyTflfCIOu3Uzzya",0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,"audio_features","spotify:track:7vQbuQcyTflfCIOu3Uzzya","https://api.spotify.com/v1/tracks/7vQbuQcyTflfCIOu3Uzzya","https://api.spotify.com/v1/audio-analysis/7vQbuQcyTflfCIOu3Uzzya",130973,4
"9","Rockin' Around The Christmas Tree","Brenda Lee","22360872","2EjXfH91m7f8HiJN1yQg97",0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,"audio_features","spotify:track:2EjXfH91m7f8HiJN1yQg97","https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97","https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97",126267,4
"10","It's the Most Wonderful Time of the Year","Andy Williams","21837306","5hslUAKq9I9CG2bAulFkHN",0.24,0.598,7,-8.435,1,0.037,0.766,0,0.117,0.776,202.082,"audio_features","spotify:track:5hslUAKq9I9CG2bAulFkHN","https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN","https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN",151933,3
