"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","SICKO MODE","Travis Scott","12071818","2xLMifQCjDGFmkHkpNLD9h",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"audio_features","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h",312820,4
"2","FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","11286750","2E124GmJRnBJuXbTb4cPUB",0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,"audio_features","spotify:track:2E124GmJRnBJuXbTb4cPUB","https://api.spotify.com/v1/tracks/2E124GmJRnBJuXbTb4cPUB","https://api.spotify.com/v1/audio-analysis/2E124GmJRnBJuXbTb4cPUB",179405,4
"3","Lucid Dreams","Juice WRLD","10453245","0s3nnoMeVWz3989MkNQiRf",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,"audio_features","spotify:track:0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf",239836,4
"4","In My Feelings","Drake","10408120","2G7V7zsVDxg1yRsu7Ew9RJ",0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,"audio_features","spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ",217925,4
"5","Nonstop","Drake","7314039","0TlLq3lA83rQOYtrqBqSct",0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,"audio_features","spotify:track:0TlLq3lA83rQOYtrqBqSct","https://api.spotify.com/v1/tracks/0TlLq3lA83rQOYtrqBqSct","https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct",238614,4
"6","SAD!","XXXTENTACION","7300834","3ee8Jmje8o58CHK66QrVC2",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,"audio_features","spotify:track:3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2",166606,4
"7","Taste (feat. Offset)","Tyga","7220577","5IaHrVsrferBYDm0bDyABy",0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,"audio_features","spotify:track:5IaHrVsrferBYDm0bDyABy","https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy","https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy",232959,4
"8","breathin","Ariana Grande","7111923","4OafepJy2teCjYJbvFE60J",0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,"audio_features","spotify:track:4OafepJy2teCjYJbvFE60J","https://api.spotify.com/v1/tracks/4OafepJy2teCjYJbvFE60J","https://api.spotify.com/v1/audio-analysis/4OafepJy2teCjYJbvFE60J",198160,4
"9","God is a woman","Ariana Grande","6914922","5OCJzvD7sykQEKHH7qAC3C",0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,"audio_features","spotify:track:5OCJzvD7sykQEKHH7qAC3C","https://api.spotify.com/v1/tracks/5OCJzvD7sykQEKHH7qAC3C","https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C",197547,4
"10","Eastside (with Halsey & Khalid)","benny blanco","6680892","0d2iYfpKoM0QCKvcLCkBao",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,"audio_features","spotify:track:0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao",173800,4
