"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","Shape of You","Ed Sheeran","53050188","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"audio_features","spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3",233713,4
"2","I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","30212156","3NdDpSvN911VPGivFlV5d0",0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,"audio_features","spotify:track:3NdDpSvN911VPGivFlV5d0","https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0","https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0",245200,4
"3","It Ain't Me (with Selena Gomez)","Kygo","29318031","3eR23VReFzcdmS7TYCrhCe",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,"audio_features","spotify:track:3eR23VReFzcdmS7TYCrhCe","https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe","https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe",220781,4
"4","Paris","The Chainsmokers","26910783","72jbDTw1piOOj770jWNeaG",0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,"audio_features","spotify:track:72jbDTw1piOOj770jWNeaG","https://api.spotify.com/v1/tracks/72jbDTw1piOOj770jWNeaG","https://api.spotify.com/v1/audio-analysis/72jbDTw1piOOj770jWNeaG",221507,4
"5","Despacito (Featuring Daddy Yankee)","Luis Fonsi","26006251","4aWmUDTfIPGksMNLV2rQP2",0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,"audio_features","spotify:track:4aWmUDTfIPGksMNLV2rQP2","https://api.spotify.com/v1/tracks/4aWmUDTfIPGksMNLV2rQP2","https://api.spotify.com/v1/audio-analysis/4aWmUDTfIPGksMNLV2rQP2",228200,4
"6","Scared to Be Lonely","Martin Garrix","22617665","3ebXMykcMXOcLeJ9xZ17XH",0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,"audio_features","spotify:track:3ebXMykcMXOcLeJ9xZ17XH","https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH","https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH",220883,4
"7","Chained To The Rhythm","Katy Perry","20445862","6520aj0B4FSKGVuKNsOCOi",0.448,0.801,0,-5.363,1,0.165,0.0733,0,0.146,0.462,189.798,"audio_features","spotify:track:6520aj0B4FSKGVuKNsOCOi","https://api.spotify.com/v1/tracks/6520aj0B4FSKGVuKNsOCOi","https://api.spotify.com/v1/audio-analysis/6520aj0B4FSKGVuKNsOCOi",237734,4
"8","Castle on the Hill","Ed Sheeran","19573198","6PCUP3dWmTjcTtXY02oFdT",0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,"audio_features","spotify:track:6PCUP3dWmTjcTtXY02oFdT","https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT","https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT",261154,4
"9","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","19012645","5knuzwU65gJK7IF5yJsuaW",0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,"audio_features","spotify:track:5knuzwU65gJK7IF5yJsuaW","https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW","https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW",251088,4
"10","I Feel It Coming","The Weeknd","17968305","5GXAXm5YOmYT0kL5jHvYBt",0.773,0.819,0,-5.946,0,0.118,0.426,0,0.0679,0.585,92.99,"audio_features","spotify:track:5GXAXm5YOmYT0kL5jHvYBt","https://api.spotify.com/v1/tracks/5GXAXm5YOmYT0kL5jHvYBt","https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt",269187,4
