"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","God's Plan","Drake","5252452","2XW4DbS6NddZxRPm5rMCeY",0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,"audio_features","spotify:track:2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY","https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY",198960,4
"2","All The Stars (with SZA)","Kendrick Lamar","2846830","2Imq77E6CEJR5TPUxlJvTY",0.532,0.642,5,-4.891,0,0.111,0.0548,0.000246,0.0991,0.536,193.016,"audio_features","spotify:track:2Imq77E6CEJR5TPUxlJvTY","https://api.spotify.com/v1/tracks/2Imq77E6CEJR5TPUxlJvTY","https://api.spotify.com/v1/audio-analysis/2Imq77E6CEJR5TPUxlJvTY",232187,4
"3","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","2743835","5CLGzJsGqhCEECcpnFQA8x",0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,"audio_features","spotify:track:5CLGzJsGqhCEECcpnFQA8x","https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x","https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x",210773,4
"4","IDGAF","Dua Lipa","2662235","76cy1WJvNGJTj78UqeA5zr",0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,"audio_features","spotify:track:76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr",217947,4
"5","FRIENDS","Marshmello","2563238","08bNPGLD8AhKpnnERrAc6G",0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,"audio_features","spotify:track:08bNPGLD8AhKpnnERrAc6G","https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G","https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G",202621,4
"6","Barking","Ramz","2558207","7amMgNDcObIDkIXv4xcvc2",0.527,0.465,7,-8.055,0,0.227,0.175,0,0.0661,0.765,137.033,"audio_features","spotify:track:7amMgNDcObIDkIXv4xcvc2","https://api.spotify.com/v1/tracks/7amMgNDcObIDkIXv4xcvc2","https://api.spotify.com/v1/audio-analysis/7amMgNDcObIDkIXv4xcvc2",202827,5
"7","River (feat. Ed Sheeran)","Eminem","2137894","5UEnHoDYpsxlfzWLZIc7LD",0.757,0.748,8,-5.794,0,0.473,0.17,0,0.0759,0.693,90.052,"audio_features","spotify:track:5UEnHoDYpsxlfzWLZIc7LD","https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD","https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD",221013,4
"8","This Is Me","Keala Settle","1948561","2xGjteMU3E1tkEPVFBO08U",0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,"audio_features","spotify:track:2xGjteMU3E1tkEPVFBO08U","https://api.spotify.com/v1/tracks/2xGjteMU3E1tkEPVFBO08U","https://api.spotify.com/v1/audio-analysis/2xGjteMU3E1tkEPVFBO08U",234707,4
"9","Pray For Me (with Kendrick Lamar)","The Weeknd","1930152","4ofvoCdXq99vpMZO4Cfp8x",0.728,0.668,2,-5.02,1,0.126,0.0805,1.49e-05,0.102,0.162,100.537,"audio_features","spotify:track:4ofvoCdXq99vpMZO4Cfp8x","https://api.spotify.com/v1/tracks/4ofvoCdXq99vpMZO4Cfp8x","https://api.spotify.com/v1/audio-analysis/4ofvoCdXq99vpMZO4Cfp8x",211440,4
"10","Feel It Still","Portugal. The Man","1835209","6QgjcU0zLnzq5OrUoSZ3OK",0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,"audio_features","spotify:track:6QgjcU0zLnzq5OrUoSZ3OK","https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK","https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK",163253,4
